"eventID","parentEventID","eventRemarks","datasetID","samplingProtocol","year","month","day","eventDate","eventTime","startDayOfYear","endDayOfYear","locality","decimalLatitude","decimalLongitude","geodeticDatum","footprintWKT","license"
"capture:DDU2005_emp_a_f_02","","individual_id= DDU2005_emp_a_f_02 |comments= doi: 10.1594/PANGAEA.633712 |data_contact= AWI (Horst Bornemann) |contact_email= Horst.Bornemann@awi.de","10.1594/PANGAEA.633712","capture for bio-logging:device type= PTT:device id= 60037",2005,10,31,"2005-10-31T15:00","15:00","2005-10-31","2005-11-9","Pointe Geologie, Terre Adelie",-66.66667,140.01667,"WGS84","POLYGON ((-66.6680000000000064 139.9960000000000093, -66.7229999999999990 140.1850000000000023, -66.4689999999999941 141.4819999999999993, -66.4819999999999993 141.8139999999999930, -66.4479999999999933 141.9089999999999918, -66.3790000000000049 141.6200000000000045, -66.3949999999999960 141.3549999999999898, -66.5969999999999942 140.7309999999999945, -66.5000000000000000 140.6270000000000095, -66.6080000000000041 140.1519999999999868, -66.6680000000000064 139.9960000000000093))","CC BY 4.0"
"capture:DDU2005_emp_a_m_04","","individual_id= DDU2005_emp_a_m_04 |comments= doi: 10.1594/PANGAEA.633712 |data_contact= AWI (Horst Bornemann) |contact_email= Horst.Bornemann@awi.de","10.1594/PANGAEA.633712","capture for bio-logging:device type= PTT:device id= 60039",2005,11,1,"2005-11-01T3:45","3:45","2005-11-1","2006-1-20","Pointe Geologie, Terre Adelie",-66.66667,140.01667,"WGS84","POLYGON ((-66.6620000000000061 139.7059999999999889, -66.7330000000000041 140.2460000000000093, -66.5439999999999969 140.4089999999999918, -66.7639999999999958 140.9639999999999986, -66.7319999999999993 140.7059999999999889, -66.7399999999999949 140.7110000000000127, -66.6839999999999975 140.8499999999999943, -66.5030000000000001 141.0960000000000036, -66.1520000000000010 141.5560000000000116, -65.9350000000000023 141.9919999999999902, -65.8409999999999940 141.7899999999999920, -65.9399999999999977 141.7630000000000052, -65.9609999999999985 141.4399999999999977, -65.9240000000000066 141.5720000000000027, -65.9309999999999974 141.7450000000000045, -65.9000000000000057 141.6490000000000009, -65.9419999999999931 141.3750000000000000, -65.9509999999999934 141.2510000000000048, -65.9260000000000019 141.3520000000000039, -66.3029999999999973 141.0980000000000132, -66.6629999999999967 139.9780000000000086, -66.5070000000000050 139.9730000000000132, -66.6710000000000065 140.0020000000000095, -66.5619999999999976 139.8990000000000009, -66.0210000000000008 140.3209999999999980, -65.6820000000000022 139.9290000000000020, -65.6779999999999973 140.0169999999999959, -65.6440000000000055 140.2700000000000102, -65.8439999999999941 141.1320000000000050, -65.9270000000000067 141.3439999999999941, -65.9569999999999936 141.4439999999999884, -65.8229999999999933 140.8379999999999939, -65.9279999999999973 140.4039999999999964, -66.6860000000000070 139.8460000000000036, -66.6629999999999967 140.0459999999999923, -66.0109999999999957 140.2400000000000091, -65.7159999999999940 140.0380000000000109, -65.8559999999999945 139.5649999999999977, -65.8960000000000008 139.5089999999999861, -66.2549999999999955 139.3360000000000127, -66.6250000000000000 140.0660000000000025, -66.4240000000000066 140.7110000000000127, -66.6500000000000057 139.9819999999999993, -66.0460000000000065 140.3199999999999932, -65.8169999999999931 139.5850000000000080, -65.9129999999999967 139.7350000000000136, -66.6719999999999970 139.9960000000000093, -66.6680000000000064 140.0180000000000007, -66.3239999999999981 138.1529999999999916, -66.1149999999999949 138.0039999999999907, -65.8209999999999980 137.9579999999999984, -65.5199999999999960 138.1390000000000100, -65.3629999999999995 137.9859999999999900, -65.1059999999999945 137.7500000000000000, -65.2300000000000040 137.5759999999999934, -65.4599999999999937 137.6910000000000025, -65.4819999999999993 137.5440000000000111, -65.3670000000000044 137.2309999999999945, -65.3659999999999997 136.8580000000000041, -65.1280000000000001 136.7160000000000082, -64.9650000000000034 136.3460000000000036, -64.9260000000000019 136.1469999999999914, -64.8679999999999950 136.1699999999999875, -64.8289999999999935 136.1320000000000050, -64.7150000000000034 135.8779999999999859, -64.2309999999999945 135.7570000000000050, -63.4209999999999994 136.4190000000000111, -63.1649999999999991 136.4879999999999995, -63.5549999999999997 135.6949999999999932, -63.6769999999999996 135.8180000000000121, -64.4120000000000061 135.9480000000000075, -64.7129999999999939 135.3779999999999859, -65.1039999999999992 134.9859999999999900, -65.1509999999999962 134.8060000000000116, -65.1640000000000015 134.7769999999999868, -65.2339999999999947 134.4780000000000086, -65.1830000000000069 134.4070000000000107, -65.2650000000000006 134.6500000000000057, -65.5699999999999932 134.9720000000000084, -65.6979999999999933 135.1109999999999900, -66.6620000000000061 139.7059999999999889))","CC BY 4.0"
"capture:DDU2005_emp_a_x_03","","individual_id= DDU2005_emp_a_x_03 |comments= doi: 10.1594/PANGAEA.633712 |data_contact= AWI (Horst Bornemann) |contact_email= Horst.Bornemann@awi.de","10.1594/PANGAEA.633712","capture for bio-logging:device type= PTT:device id= 60038",2005,11,1,"2005-11-01T2:30","2:30","2005-11-1","2005-12-30","Pointe Geologie, Terre Adelie",-66.66667,140.01667,"WGS84","POLYGON ((-66.6680000000000064 140.0010000000000048, -66.3329999999999984 156.7700000000000102, -66.0729999999999933 156.7489999999999952, -65.9090000000000060 156.4759999999999991, -65.5720000000000027 156.2800000000000011, -65.1640000000000015 155.8930000000000007, -64.4759999999999991 155.5500000000000114, -63.5910000000000011 154.2589999999999861, -63.0189999999999984 152.7390000000000043, -62.4889999999999972 151.6289999999999907, -61.8969999999999985 149.2659999999999911, -61.4059999999999988 146.6699999999999875, -61.0409999999999968 145.1860000000000070, -60.9329999999999998 143.3429999999999893, -60.8440000000000012 142.0920000000000130, -60.6409999999999982 140.8340000000000032, -60.7229999999999990 140.4979999999999905, -60.8689999999999998 140.3789999999999907, -61.2770000000000010 140.8810000000000002, -61.8179999999999978 140.6409999999999911, -62.6950000000000003 140.7640000000000100, -63.7939999999999969 140.5260000000000105, -63.8019999999999996 140.3259999999999934, -63.8609999999999971 140.0519999999999925, -64.2669999999999959 140.5819999999999936, -64.7429999999999950 140.9989999999999952, -65.3840000000000003 140.6220000000000141, -65.9530000000000030 139.6719999999999970, -66.5720000000000027 140.0130000000000052, -66.5879999999999939 139.9900000000000091, -66.1449999999999960 139.9089999999999918, -65.9590000000000032 139.3919999999999959, -65.9339999999999975 139.5910000000000082, -65.8389999999999986 140.0099999999999909, -65.8649999999999949 139.5459999999999923, -66.2009999999999934 140.8050000000000068, -65.7939999999999969 139.6119999999999948, -65.9050000000000011 139.6639999999999873, -66.0759999999999934 140.4130000000000109, -66.4219999999999970 139.8959999999999866, -66.4789999999999992 140.1299999999999955, -66.0420000000000016 139.9000000000000057, -66.0540000000000020 139.7640000000000100, -66.0100000000000051 139.5680000000000121, -66.0550000000000068 139.7940000000000111, -66.2099999999999937 140.1719999999999970, -66.3130000000000024 140.3619999999999948, -66.6290000000000049 140.0279999999999916, -66.6629999999999967 139.9670000000000130, -66.3479999999999990 140.4159999999999968, -66.2480000000000047 140.2249999999999943, -66.2909999999999968 140.1649999999999920, -66.2019999999999982 139.9890000000000043, -66.2900000000000063 139.1990000000000123, -66.3610000000000042 139.4730000000000132, -66.5430000000000064 139.9019999999999868, -66.6029999999999944 139.9480000000000075, -66.6680000000000064 140.0010000000000048))","CC BY 4.0"
"capture:DDU2005_emp_a_x_05","","individual_id= DDU2005_emp_a_x_05 |comments= doi: 10.1594/PANGAEA.633712 |data_contact= AWI (Horst Bornemann) |contact_email= Horst.Bornemann@awi.de","10.1594/PANGAEA.633712","capture for bio-logging:device type= PTT:device id= 60046",2005,11,1,"2005-11-01T5:00","5:00","2005-11-1","2005-11-10","Pointe Geologie, Terre Adelie",-66.66667,140.01667,"WGS84","POLYGON ((-66.6680000000000064 140.0020000000000095, -66.6599999999999966 140.0469999999999970, -66.4899999999999949 140.2560000000000002, -66.1659999999999968 140.3830000000000098, -65.9639999999999986 139.8729999999999905, -66.0079999999999956 140.0329999999999870, -66.0229999999999961 140.1459999999999866, -66.0130000000000052 140.1630000000000109, -66.0079999999999956 140.2189999999999941, -66.5360000000000014 139.9240000000000066, -66.6680000000000064 140.0020000000000095))","CC BY 4.0"
"capture:DDU2005_emp_a_f_07","","individual_id= DDU2005_emp_a_f_07 |comments= doi: 10.1594/PANGAEA.633712 |data_contact= AWI (Horst Bornemann) |contact_email= Horst.Bornemann@awi.de","10.1594/PANGAEA.633712","capture for bio-logging:device type= PTT:device id= 60041",2005,11,2,"2005-11-02T3:45","3:45","2005-11-2","2006-1-14","Pointe Geologie, Terre Adelie",-66.66667,140.01667,"WGS84","POLYGON ((-66.6680000000000064 140.0000000000000000, -66.5709999999999980 140.2709999999999866, -66.6659999999999968 141.3750000000000000, -66.5559999999999974 140.9019999999999868, -66.6989999999999981 141.0720000000000027, -66.5570000000000022 141.1740000000000066, -66.3439999999999941 141.3449999999999989, -66.2500000000000000 141.4339999999999975, -66.3139999999999930 141.4840000000000089, -66.3449999999999989 141.2940000000000111, -66.4689999999999941 141.1819999999999879, -66.6770000000000067 141.1980000000000075, -66.6830000000000069 141.0480000000000018, -66.6509999999999962 140.0320000000000107, -66.6500000000000057 140.0010000000000048, -66.6470000000000056 140.0490000000000066, -66.4929999999999950 140.4840000000000089, -66.6230000000000047 140.6750000000000114, -66.3409999999999940 140.3940000000000055, -66.1479999999999961 139.9389999999999930, -66.0270000000000010 140.7359999999999900, -66.2099999999999937 140.7740000000000009, -65.9080000000000013 141.2539999999999907, -65.4659999999999940 141.1730000000000018, -65.0819999999999936 140.8240000000000123, -64.7159999999999940 141.0999999999999943, -64.3179999999999978 140.9389999999999930, -64.0199999999999960 141.7510000000000048, -63.9990000000000023 142.0409999999999968, -63.7809999999999988 142.2270000000000039, -63.1259999999999977 143.3420000000000130, -62.5439999999999969 143.4639999999999986, -61.8130000000000024 143.0629999999999882, -61.8639999999999972 142.3590000000000089, -62.1730000000000018 142.1279999999999859, -63.0619999999999976 141.6529999999999916, -63.7539999999999978 141.9679999999999893, -64.6470000000000056 142.2589999999999861, -65.8310000000000031 141.6479999999999961, -66.1380000000000052 138.9339999999999975, -66.0109999999999957 138.3799999999999955, -65.7519999999999953 138.3950000000000102, -65.3610000000000042 138.0049999999999955, -64.8589999999999947 137.4739999999999895, -64.5430000000000064 137.2560000000000002, -63.8320000000000007 137.9360000000000070, -63.5099999999999980 137.8760000000000048, -62.9639999999999986 137.4410000000000025, -63.6510000000000034 137.4890000000000043, -63.6120000000000019 137.6949999999999932, -63.7629999999999981 138.4799999999999898, -63.6850000000000023 138.7769999999999868, -64.6910000000000025 137.7560000000000002, -65.2159999999999940 138.0229999999999961, -65.4539999999999935 136.8870000000000005, -66.0010000000000048 136.0370000000000061, -65.5699999999999932 136.7199999999999989, -65.5370000000000061 136.7059999999999889, -65.5430000000000064 136.9819999999999993, -65.6159999999999997 136.8629999999999995, -65.6239999999999952 136.5020000000000095, -65.9180000000000064 136.3669999999999902, -65.9650000000000034 136.1899999999999977, -65.9569999999999936 136.1040000000000134, -65.9449999999999932 136.0149999999999864, -66.6680000000000064 140.0000000000000000))","CC BY 4.0"
"capture:DDU2005_emp_a_x_06","","individual_id= DDU2005_emp_a_x_06 |comments= doi: 10.1594/PANGAEA.633712 |data_contact= AWI (Horst Bornemann) |contact_email= Horst.Bornemann@awi.de","10.1594/PANGAEA.633712","capture for bio-logging:device type= PTT:device id= 60040",2005,11,2,"2005-11-02T2:00","2:00","2005-11-2","2006-1-11","Pointe Geologie, Terre Adelie",-66.66667,140.01667,"WGS84","POLYGON ((-66.6659999999999968 140.0579999999999927, -66.7630000000000052 152.2139999999999986, -66.4719999999999942 151.4060000000000059, -66.1740000000000066 151.1719999999999970, -65.8310000000000031 149.8499999999999943, -66.3679999999999950 148.7139999999999986, -66.1239999999999952 148.2529999999999859, -65.9050000000000011 147.1239999999999952, -66.1880000000000024 145.8460000000000036, -66.4719999999999942 145.4190000000000111, -66.5370000000000061 145.2129999999999939, -66.5250000000000057 145.1229999999999905, -66.4869999999999948 145.4180000000000064, -66.5729999999999933 145.6839999999999975, -66.5969999999999942 145.8309999999999889, -66.6370000000000005 146.1119999999999948, -66.6340000000000003 146.2560000000000002, -66.6380000000000052 146.1990000000000123, -66.6329999999999956 146.4730000000000132, -66.7339999999999947 146.5099999999999909, -66.6730000000000018 146.3660000000000139, -66.6320000000000050 146.6870000000000118, -66.6080000000000041 146.3410000000000082, -66.4980000000000047 144.8069999999999879, -66.4159999999999968 143.9499999999999886, -66.2870000000000061 143.5989999999999895, -66.2189999999999941 143.1899999999999977, -66.0550000000000068 142.8129999999999882, -65.3149999999999977 142.6810000000000116, -64.3209999999999980 143.3180000000000121, -64.1620000000000061 143.2199999999999989, -64.0310000000000059 143.0190000000000055, -63.8569999999999993 143.0660000000000025, -62.7550000000000026 144.4269999999999925, -63.0559999999999974 145.7090000000000032, -64.0520000000000067 146.1970000000000027, -64.3139999999999930 146.8120000000000118, -64.2210000000000036 147.1740000000000066, -64.2710000000000008 147.4939999999999998, -64.2120000000000033 147.0829999999999984, -64.3649999999999949 146.9379999999999882, -64.6230000000000047 146.3969999999999914, -64.4530000000000030 146.1299999999999955, -64.6020000000000039 145.5749999999999886, -64.6760000000000019 145.6359999999999957, -64.4909999999999997 145.3810000000000002, -64.1189999999999998 145.4339999999999975, -63.8879999999999981 145.1850000000000023, -63.8459999999999965 144.7090000000000032, -63.9609999999999985 143.9910000000000139, -64.1410000000000053 143.4910000000000139, -64.0280000000000058 143.1339999999999861, -64.2459999999999951 141.6049999999999898, -64.3739999999999952 140.9240000000000066, -64.5280000000000058 140.5060000000000002, -64.7860000000000014 140.1699999999999875, -64.9300000000000068 140.2019999999999982, -65.1269999999999953 139.9830000000000041, -65.2439999999999998 140.0939999999999941, -65.2620000000000005 140.2119999999999891, -65.4639999999999986 140.1740000000000066, -65.5430000000000064 140.0449999999999875, -65.7330000000000041 139.8199999999999932, -65.9659999999999940 140.0699999999999932, -66.0160000000000053 140.1930000000000121, -66.1640000000000015 140.0149999999999864, -66.3040000000000020 139.9799999999999898, -66.5589999999999975 140.0000000000000000, -66.5570000000000022 140.0000000000000000, -66.5829999999999984 140.0430000000000064, -66.6659999999999968 140.0579999999999927))","CC BY 4.0"
"capture:DDU2005_emp_a_x_08","","individual_id= DDU2005_emp_a_x_08 |comments= doi: 10.1594/PANGAEA.633712 |data_contact= AWI (Horst Bornemann) |contact_email= Horst.Bornemann@awi.de","10.1594/PANGAEA.633712","capture for bio-logging:device type= PTT:device id= 60047",2005,11,2,"2005-11-02T4:45","4:45","2005-11-2","2005-11-10","Pointe Geologie, Terre Adelie",-66.66667,140.01667,"WGS84","POLYGON ((-66.6700000000000017 140.0049999999999955, -66.6580000000000013 139.9970000000000141, -66.6119999999999948 141.0620000000000118, -66.7099999999999937 141.2019999999999982, -66.6970000000000027 141.3849999999999909, -66.4489999999999981 142.2129999999999939, -66.4749999999999943 141.1730000000000018, -66.3820000000000050 141.0740000000000123, -66.5150000000000006 140.3319999999999936, -66.6700000000000017 140.0049999999999955))","CC BY 4.0"
"capture:DDU2005_emp_a_m_10","","individual_id= DDU2005_emp_a_m_10 |comments= doi: 10.1594/PANGAEA.633712 |data_contact= AWI (Horst Bornemann) |contact_email= Horst.Bornemann@awi.de","10.1594/PANGAEA.633712","capture for bio-logging:device type= PTT:device id= 60048",2005,11,4,"2005-11-04T4:45","4:45","2005-11-4","2005-11-16","Pointe Geologie, Terre Adelie",-66.66667,140.01667,"WGS84","POLYGON ((-66.6680000000000064 139.9919999999999902, -66.5199999999999960 139.8280000000000030, -66.6770000000000067 140.1490000000000009, -66.7240000000000038 141.1409999999999911, -66.5690000000000026 142.4629999999999939, -66.0660000000000025 142.5260000000000105, -65.8949999999999960 142.3280000000000030, -65.7879999999999967 142.3619999999999948, -65.9740000000000038 142.4149999999999920, -66.1290000000000049 142.2189999999999941, -66.5360000000000014 142.0560000000000116, -66.8229999999999933 142.1160000000000139, -66.6599999999999966 140.1150000000000091, -66.6680000000000064 139.9919999999999902))","CC BY 4.0"
"capture:DDU2005_emp_a_m_13","","individual_id= DDU2005_emp_a_m_13 |analysis remark= not used in analyses |comments= doi: 10.1594/PANGAEA.633712 |data_contact= AWI (Horst Bornemann) |contact_email= Horst.Bornemann@awi.de","10.1594/PANGAEA.633712","capture for bio-logging:device type= PTT:device id= 60042",2005,11,5,"2005-11-05T5:15","5:15","2005-11-5","2005-11-21","Pointe Geologie, Terre Adelie",-66.66667,140.01667,"WGS84","POLYGON ((-66.6850000000000023 139.9850000000000136, -66.3539999999999992 140.4499999999999886, -66.2950000000000017 140.5190000000000055, -66.2570000000000050 140.5099999999999909, -66.6310000000000002 139.9939999999999998, -66.3029999999999973 140.4799999999999898, -66.2780000000000058 140.5120000000000005, -66.6359999999999957 140.0279999999999916, -66.2429999999999950 140.4269999999999925, -66.2620000000000005 140.3379999999999939, -66.5540000000000020 140.1330000000000098, -66.2960000000000065 140.4869999999999948, -66.2680000000000007 140.3590000000000089, -66.3490000000000038 140.3040000000000020, -66.5990000000000038 139.9859999999999900, -66.3589999999999947 140.7560000000000002, -66.2840000000000060 140.3580000000000041, -66.6850000000000023 139.9850000000000136))","CC BY 4.0"
"capture:DDU2005_emp_a_m_14","","individual_id= DDU2005_emp_a_m_14 |comments= doi: 10.1594/PANGAEA.633712 |data_contact= AWI (Horst Bornemann) |contact_email= Horst.Bornemann@awi.de","10.1594/PANGAEA.633712","capture for bio-logging:device type= PTT:device id= 60043",2005,11,5,"2005-11-05T5:35","5:35","2005-11-5","2005-12-21","Pointe Geologie, Terre Adelie",-66.66667,140.01667,"WGS84","POLYGON ((-66.6400000000000006 140.0049999999999955, -66.6050000000000040 139.8660000000000139, -66.5550000000000068 139.7789999999999964, -66.1869999999999976 140.2079999999999984, -65.9749999999999943 140.0099999999999909, -65.6359999999999957 139.5840000000000032, -65.5190000000000055 139.7779999999999916, -65.5070000000000050 139.6550000000000011, -65.4800000000000040 139.6990000000000123, -65.4569999999999936 139.6990000000000123, -65.4539999999999935 139.7889999999999873, -65.4749999999999943 139.7539999999999907, -65.5750000000000028 140.5089999999999861, -65.4150000000000063 140.0560000000000116, -65.2369999999999948 140.5449999999999875, -65.2699999999999960 140.9939999999999998, -65.6129999999999995 140.9089999999999918, -65.5469999999999970 140.5420000000000016, -65.6029999999999944 140.7779999999999916, -65.5829999999999984 140.2330000000000041, -65.5300000000000011 139.8520000000000039, -65.5750000000000028 139.9430000000000121, -65.5120000000000005 139.5300000000000011, -65.4110000000000014 139.2899999999999920, -64.7729999999999961 139.3940000000000055, -64.5939999999999941 139.8269999999999982, -64.1080000000000041 140.4550000000000125, -64.0360000000000014 140.8329999999999984, -63.7700000000000031 141.0240000000000009, -63.6390000000000029 141.4559999999999889, -63.3479999999999990 140.9499999999999886, -63.6390000000000029 140.5409999999999968, -63.8650000000000020 140.5980000000000132, -63.9380000000000024 141.3499999999999943, -63.7500000000000000 140.3650000000000091, -63.7370000000000019 138.8720000000000141, -64.3449999999999989 138.0560000000000116, -64.8520000000000039 137.6380000000000052, -65.3040000000000020 137.0809999999999889, -65.4839999999999947 137.0850000000000080, -65.5139999999999958 136.7860000000000014, -65.6029999999999944 137.0840000000000032, -65.4659999999999940 136.5749999999999886, -65.6640000000000015 136.8950000000000102, -65.6479999999999961 136.8720000000000141, -65.7720000000000056 136.8360000000000127, -65.7999999999999972 136.9259999999999877, -66.6400000000000006 140.0049999999999955))","CC BY 4.0"
