occurrenceID,type,language,datasetName,basisOfRecord,sex,lifeStage,occurrenceStatus,organismID,organismName,organismRemarks,eventID,samplingProtocol,eventDate,eventRemarks,decimalLatitude,decimalLongitude,geodeticDatum,scientificName,kingdom
858-L907004,Event,en,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",HumanObservation,female,adult,present,L907004,Jasmin,Jasmin,858-L907004,"tag deployment",2013-05-28T00:00:00Z,ZEEB_APM,51.339311,3.17913,WGS84,"Larus fuscus",Animalia
851-L907172,Event,en,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",HumanObservation,male,adult,present,L907172,Eric,Eric,851-L907172,"tag deployment",2013-05-28T00:00:00Z,ZEEB_APM,51.339311,3.17913,WGS84,"Larus fuscus",Animalia
861-L906682,Event,en,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",HumanObservation,male,adult,present,L906682,Hans,Hans,861-L906682,"tag deployment",2013-05-29T00:00:00Z,ZEEB_APM,51.339311,3.17913,WGS84,"Larus fuscus",Animalia
744-L906623,Event,en,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",HumanObservation,male,adult,present,L906623,Marc,Marc,744-L906623,"tag deployment",2013-05-30T00:00:00Z,"ZEEB_APM | Poor tracker functioning after bird removed antenna. Dead: predated by fox.",51.339311,3.17913,WGS84,"Larus fuscus",Animalia
703-L904812,Event,en,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",HumanObservation,male,adult,present,L904812,Kees,Kees,703-L904812,"tag deployment",2013-05-30T00:00:00Z,"ZEEB_APM | Poor tracker functioning after bird removed antenna.",51.339311,3.17913,WGS84,"Larus fuscus",Animalia
830-L909213,Event,en,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",HumanObservation,female,adult,present,L909213,Chloe,Chloe,830-L909213,"tag deployment",2013-05-30T00:00:00Z,"ZEEB_APM | Poor tracker functioning after bird removed antenna.",51.339311,3.17913,WGS84,"Larus fuscus",Animalia
847-L906543,Event,en,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",HumanObservation,female,adult,present,L906543,Jozsa,Jozsa,847-L906543,"tag deployment",2013-05-31T00:00:00Z,"ZEEB_APM | Poor tracker functioning after bird removed antenna.",51.339311,3.17913,WGS84,"Larus fuscus",Animalia
755-L902124,Event,en,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",HumanObservation,male,adult,present,L902124,Wouter,Wouter,755-L902124,"tag deployment",2013-05-31T00:00:00Z,"ZEEB_APM | Poor tracker functioning after bird removed antenna.",51.339311,3.17913,WGS84,"Larus fuscus",Animalia
849-L901266,Event,en,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",HumanObservation,male,adult,present,L901266,Hilbran,Hilbran,849-L901266,"tag deployment",2013-06-03T00:00:00Z,ZEEB_APM,51.339311,3.17913,WGS84,"Larus fuscus",Animalia
712-L907450,Event,en,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",HumanObservation,female,adult,present,L907450,Billie,Billie,712-L907450,"tag deployment",2013-06-03T00:00:00Z,ZEEB_APM,51.339311,3.17913,WGS84,"Larus fuscus",Animalia
